ΚΩΔ. ΚΕΝ,ΚΕΝ ΠΕΡΙΓΡΑΦΗ,ΜΔΝ από 1/3/2012,Κόστος από 1/3/2012,70% κάλυψη σε ιδιωτικά ιδρύματα
Κ56Μ,συνυπάρχουσες παθήσεις-επιπλοκές Διακαθετηριακή τοποθέτηση καρδιακής βαλβίδας χωρίς καταστροφικές,12,"15.000,00 €","10.500,00 €"
Κ56Χ,συνυπάρχουσες παθήσεις-επιπλοκές Διακορυφαία δια-αορτική τοποθέτηση καρδιακής βαλβίδας με καταστροφικές,8,"13.000,00 €","9.100,00 €"
Κ57Μ,συνυπάρχουσες παθήσεις-επιπλοκές Διακορυφαία δια-αορτική τοποθέτηση καρδιακής βαλβίδας χωρίς καταστροφικές,12,"16.000,00 €","11.200,00 €"
Κ57Χ,συνυπάρχουσες παθήσεις-επιπλοκές Διακαθετηριακή βαλβιδοπλαστική καρδιακής βαλβίδας με καταστροφικές,10,"14.000,00 €","9.800,00 €"
Κ58Μ,συνυπάρχουσες παθήσεις-επιπλοκές Διακαθετηριακή βαλβιδοπλαστική καρδιακής βαλβίδας χωρίς καταστροφικές,5,"4.000,00 €","2.800,00 €"
Κ58Χ,συνυπάρχουσες παθήσεις-επιπλοκές Διακαθετηριακή αντικατάσταση ή διόρθωση καρδιακών βαλβίδων χωρίς καταστροφικές συνυπάρχουσες παθήσεις -,4,"3.000,00 €","2.100,00 €"
Κ59Α,"επιπλοκές ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Διακαθετηριακή αντιμετώπιση μυοκαρδιοπάθειας, χωρίς καταστροφικές",8,"5.500,00 €","3.850,00 €"
Κ60Α,συνυπάρχουσες παθήσεις/επιπλοκές Διαδερμική - διακαθετηριακή τοποθέτηση συσκευών σε καρδιακή κοιλότητα ή,4,"6.500,00 €","4.550,00 €"
Κ61Α,σύγκλειση καρδιακών τρημάτων Επεμβατική σύγκλειση μεσοκολπικού ή μεσοκοιλιακού ελλείμματος σε ασθενή,3,"13.000,00 €","9.100,00 €"
Κ62Α,<18 ετών Επεμβατική σύγκλειση αρτηριακού πόρου,5,"15.000,00 €","10.500,00 €"
Κ63Α,σε ασθενή <18 ετών Επεμβατική σύγκλειση αορτοπνευμονικού,5,"9.000,00 €","6.300,00 €"
Κ64Α,παράπλευρου σε ασθενή <18 ετών Επεμβατική διάνοιξη μεσοκολπικής,5,"4.000,00 €","2.800,00 €"
Κ65Α,επικοινωνίας σε ασθενή <18 ετών Βαλβιδοπλαστική ή αγγειοπλαστική για συγγενή καρδιοπάθεια σε ασθενή <18 ετών με καταστροφικές ή σοβαρές,5,"2.000,00 €","1.400,00 €"
Κ66Μ,συνυπάρχουσες παθήσεις-επιπλοκές Βαλβιδοπλαστική ή αγγειοπλαστική για συγγενή καρδιοπάθεια σε ασθενή <18 ετών χωρίς καταστροφικές ή σοβαρές,5,"5.500,00 €","3.850,00 €"
Κ66Χ,συνυπάρχουσες παθήσεις-επιπλοκές Τοποθέτηση ενδοπρόθεσης (stent) σε πνευμονική αρτηρία ή στην περιοχή του,5,"5.000,00 €","3.500,00 €"
Κ67Α,ισθμού σε ασθενή <18 ετών Παθήσεις και διαταραχές του πεπτικού ΤΚΑ 06 συστήματος (Π) Εκτομή ορθού με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,5,"3.500,00 €","2.450,00 €"
Π01Μ,- επιπλοκές Εκτομή ορθού χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,15,"4.192,00 €","2.934,40 €"
Π01Χ,- επιπλοκές Μείζονες επεμβάσεις λεπτού και παχέος,9,"3.506,00 €","2.454,20 €"
Π02Μ,εντέρου με καταστροφικές (συστηματικές) ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα συνυπάρχουσες παθήσεις - επιπλοκές Μείζονες επεμβάσεις λεπτού και παχέος εντέρου χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,15,"5.218,00 €","3.652,60 €"
Π02Χ,"- επιπλοκές Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδακτύλου με κακοήθεια ή με καταστροφικές (συστηματικές)",8,"2.519,00 €","1.763,30 €"
Π03Μ,"συνυπάρχουσες παθήσεις - επιπλοκές Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδάκτυλου χωρίς κακοήθεια με σοβαρές ή μέτριας βαρύτητας",15,"6.280,00 €","4.396,00 €"
Π03Χα,"συνυπάρχουσες παθήσεις - επιπλοκές Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδάκτυλου χωρίς κακοήθεια χωρίς",8,"2.569,00 €","1.798,30 €"
Π03Χβ,συνυπάρχουσες παθήσεις - επιπλοκές Λύση περιτοναϊκών συμφύσεων με καταστροφικές (συστηματικές),4,"1.649,00 €","1.154,30 €"
Π04Μα,συνυπάρχουσες παθήσεις - επιπλοκές Λύση περιτοναϊκών συμφύσεων με σοβαρές ή μέτριας βαρύτητας,15,"3.028,00 €","2.119,60 €"
Π04Μβ,συνυπάρχουσες παθήσεις - επιπλοκές Λύση περιτοναϊκών συμφύσεων χωρίς,9,"2.464,00 €","1.724,80 €"
Π04Χ,συνυπάρχουσες παθήσεις - επιπλοκές Ελάσσονες επεμβάσεις λεπτού και παχέος εντέρου με καταστροφικές (συστηματικές),4,"1.434,00 €","1.003,80 €"
Π05Μα,συνυπάρχουσες παθήσεις - επιπλοκές Ελάσσονες επεμβάσεις λεπτού και παχέος εντέρου με σοβαρές ή μέτριας βαρύτητας,10,"3.027,00 €","2.118,90 €"
Π05Μβ,συνυπάρχουσες παθήσεις - επιπλοκές Ελάσσονες επεμβάσεις λεπτού και παχέος εντέρου χωρίς συνυπάρχουσες παθήσεις -,7,"1.896,00 €","1.327,20 €"
Π05Χ,επιπλοκές,4,"1.306,00 €","914,20 €"
Π06Α,Επέμβαση πυλωρομυοτομής,3,"1.007,00 €","704,90 €"
Π07Μ,Σκωληκοειδεκτομή με κακοήθεια ή περιτονίτιδα ή με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα παθήσεις - επιπλοκές Σκωληκοειδεκτομή χωρίς κακοήθεια ή περιτονίτιδα χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,5,"1.409,00 €","986,30 €"
Π07Χ,"παθήσεις - επιπλοκές Επεμβάσεις κήλης (βουβωνοκήλης, ομφαλοκήλης κτλ) με συνυπάρχουσες",2,"764,00 €","534,80 €"
Π10Μ,"παθήσεις - επιπλοκές Επεμβάσεις κήλης (βουβωνοκήλης, ομφαλοκήλης κτλ) χωρίς συνυπάρχουσες",4,"1.697,00 €","1.187,90 €"
Π10Χ,παθήσεις - επιπλοκές Επεμβάσεις πρωκτικής χώρας και,2,"868,00 €","607,60 €"
Π11Α,κολοστομίες Άλλες χειρουργικές επεμβάσεις πεπτικού συστήματος με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,4,"514,00 €","359,80 €"
Π12Μα,- επιπλοκές Άλλες χειρουργικές επεμβάσεις πεπτικού συστήματος με σοβαρές ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις -,16,"3.797,00 €","2.657,90 €"
Π12Μβ,επιπλοκές Άλλες χειρουργικές επεμβάσεις πεπτικού συστήματος χωρίς συνυπάρχουσες,7,"1.757,00 €","1.229,90 €"
Π12Χ,παθήσεις - επιπλοκές Σύνθετη ενδοσκόπηση ανώτερου πεπτικού σε καταστροφικές (συστηματικές),3,"879,00 €","615,30 €"
Π26Μ,συνυπάρχουσες παθήσεις - επιπλοκές Σύνθετη ενδοσκόπηση ανώτερου πεπτικού σε παθήσεις χωρίς καταστροφικές,12,"2.000,00 €","1.400,00 €"
Π26Χ,"(συστηματικές) συνέπειες - επιπλοκές Σύνθετη ενδοσκόπηση ανώτερου πεπτικού,",5,"378,00 €","264,60 €"
Π26Α,ημερήσια νοσηλεία Ενδοσκόπηση κατώτερου πεπτικού σε καταστροφικές (συστηματικές) ή σοβαρές,1,"180,00 €","126,00 €"
Π28Μ,συνυπάρχουσες παθήσεις - επιπλοκές Ενδοσκόπηση κατώτερου πεπτικού σε,10,"1.100,00 €","770,00 €"
Π28Χ,"παθήσεις χωρίς καταστροφικές ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα (συστηματικές) συνέπειες - επιπλοκές Ενδοσκόπηση κατώτερου πεπτικού,",3,"600,00 €","420,00 €"
Π28Α,"ημερήσια νοσηλεία 1 150,00 € Αιμορραγία γαστρεντερικού με καταστροφικές (συστηματικές) ή σοβαρές",,"105,00 €",
Π41Μ,"συνυπάρχουσες παθήσεις - επιπλοκές 5 934,00 € Αιμορραγία γαστρεντερικού χωρίς καταστροφικές (συστηματικές) ή σοβαρές",,"653,80 €",
Π41Χ,"συνυπάρχουσες παθήσεις - επιπλοκές 2 375,00 €",,"262,50 €",
Π42Α,"Επιπλεγμένο πεπτικό έλκος 5 997,00 €",,"697,90 €",
Π43Α,"Μη επιπλεγμένο πεπτικό έλκος 2 304,00 € Φλεγμονώδης νόσος του εντέρου με",,"212,80 €",
Π44Μ,"συνυπάρχουσες παθήσεις - επιπλοκές 5 997,00 € Φλεγμονώδης νόσος του εντέρου χωρίς",,"697,90 €",
Π44Χ,"συνυπάρχουσες παθήσεις - επιπλοκές 2 563,00 € Απόφραξη γαστρεντερικού σωλήνα με καταστροφικές (συστηματικές) ή σοβαρές",,"394,10 €",
Π45Μ,"συνυπάρχουσες παθήσεις - επιπλοκές 7 1.217,00 € Απόφραξη γαστρεντερικού σωλήνα χωρίς καταστροφικές (συστηματικές) ή σοβαρές",,"851,90 €",
Π45Χ,"συνυπάρχουσες παθήσεις - επιπλοκές 3 569,00 €",,"398,30 €",
Π46Α,"Κοιλιακός πόνος ή μεσεντέριος αδενίτιδα 2 327,00 € Οισοφαγίτιδα και γαστρεντερίτιδα με καταστροφικές (συστηματικές) ή σοβαρές",,"228,90 €",
Π47Μ,"συνυπάρχουσες παθήσεις - επιπλοκές 5 933,00 € Οισοφαγίτιδα και γαστρεντερίτιδα χωρίς καταστροφικές (συστηματικές) ή σοβαρές",,"653,10 €",
Π47Χ,"συνυπάρχουσες παθήσεις - επιπλοκές 2 335,00 € Άλλες παθήσεις του πεπτικού συστήματος με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις -",,"234,50 €",
Π50Μ,"επιπλοκές 6 1.033,00 € Άλλες παθήσεις του πεπτικού συστήματος χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις -",,"723,10 €",
Π50Χ,"επιπλοκές 2 323,00 €",,"226,10 €",
Π27Μ,Άλλες ενδοσκοπήσεις ανώτερου πεπτικού Ισχύουν ότι και για το Π26Μ ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα σε καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις - επιπλοκές Άλλες ενδοσκοπήσεις ανώτερου πεπτικού σε παθήσεις χωρίς καταστροφικές,,,
Π27Χ,"(συστηματικές) συνέπειες - επιπλοκές Ισχύουν ότι και για το Π26Χ Άλλες ενδοσκοπήσεις ανώτερου πεπτικού,",,,
Π27Α,ημερήσια νοσηλεία Ισχύουν ότι και για το Π26Α Κακοήθεια του πεπτικού με καταστροφικές (συστηματικές),,,
Π40Μ,συνυπάρχουσες παθήσεις - επιπλοκές Ισχύουν ότι και για το Π28Μ Κακοήθεια του πεπτικού χωρίς καταστροφικές (συστηματικές),,,
Π40Χ,"συνυπάρχουσες παθήσεις - επιπλοκές Ισχύουν ότι και για το Π28Χ Παθήσεις και διαταραχές του ηπατοχολικού συστήματος και του ΤΚΑ 07 παγκρέατος (Η) Επεμβάσεις παγκρέατος, ήπατος και αναστόμωση με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις",,,
H01Μ,"- επιπλοκές 17 5.296,00 € Επεμβάσεις παγκρέατος, ήπατος και αναστόμωση χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις",,"3.707,20 €",
H01Χ,"- επιπλοκές 7 3.119,00 € Μείζονες επεμβάσεις των χοληφόρων με καταστροφικές (συστηματικές)",,"2.183,30 €",
H02Μα,"συνυπάρχουσες παθήσεις - επιπλοκές 12 4.646,00 € Μείζονες επεμβάσεις των χοληφόρων χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις -",,"3.252,20 €",
H02Χ,"επιπλοκές 6 1.890,00 € Διαγνωστικές ηπατοχολικές επεμβάσεις με καταστροφικές (συστηματικές)",,"1.323,00 €",
H05Μ,"συνυπάρχουσες παθήσεις - επιπλοκές 14 4.121,00 € Διαγνωστικές ηπατοχολικές επεμβάσεις",,"2.884,70 €",
H05Χ,"χωρίς καταστροφικές (συστηματικές) 4 1.267,00 € ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα συνυπάρχουσες παθήσεις - επιπλοκές Άλλες χειρουργικές ηπατοχολικές επεμβάσεις και επεμβάσεις παγκρέατος με καταστροφικές (συστηματικές)",,"886,90 €",
H06Μ,συνυπάρχουσες παθήσεις - επιπλοκές Άλλες χειρουργικές ηπατοχολικές επεμβάσεις και επεμβάσεις παγκρέατος χωρίς καταστροφικές (συστηματικές),14,"3.565,00 €","2.495,50 €"
H06Χ,συνυπάρχουσες παθήσεις - επιπλοκές Ανοικτή χολοκυστεκτομή με κλειστό χοληδόχο πόρο ή με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,5,"864,00 €","604,80 €"
H07Μ,- επιπλοκές Ανοικτή χολοκυστεκτομή χωρίς κλειστό χοληδόχο πόρο χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,11,"3.908,00 €","2.735,60 €"
H07Χ,- επιπλοκές Λαπαρασκοπική χολοκυστεκτομή με κλειστό χοληδόχο πόρο ή με καταστροφικές (συστηματικές) ή σοβαρές,6,"1.500,00 €","1.050,00 €"
H08Μ,συνυπάρχουσες παθήσεις - επιπλοκές Λαπαρασκοπική χολοκυστεκτομή χωρίς κλειστό χοληδόχο πόρο χωρίς καταστροφικές (συστηματικές) ή σοβαρές,5,"1.600,00 €","1.120,00 €"
H08Χ,συνυπάρχουσες παθήσεις - επιπλοκές Ενδοσκοπικές επεμβάσεις για αιμορραγία οισοφαγικών κιρσών με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,2,"1.085,00 €","759,50 €"
H20Μ,- επιπλοκές Ενδοσκοπικές επεμβάσεις για αιμορραγία οισοφαγικών κιρσών χωρίς καταστροφικές (συστηματικές),11,"3.237,00 €","2.265,90 €"
H20Χ,συνυπάρχουσες παθήσεις - επιπλοκές Ενδοσκοπική παλίνδρομη χολαγγειοπαγκρεατογραφία σε καταστροφικές (συστηματικές) ή σοβαρές,5,"1.182,00 €","827,40 €"
H23Μ,συνυπάρχουσες παθήσεις - επιπλοκές,11,"1.800,00 €","1.260,00 €"
H23Χ,Ενδοσκοπική παλίνδρομη ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα χολαγγειοπαγκρεατογραφία σε παθήσεις χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνέπειες - επιπλοκές Κίρρωση και αλκοολική ηπατίτιδα με καταστροφικές (συστηματικές),3,"651,00 €","455,70 €"
H40Μα,συνυπάρχουσες παθήσεις - επιπλοκές Κίρρωση και αλκοολική ηπατίτιδα με σοβαρές ή μέτριας βαρύτητας,12,"1.700,00 €","1.190,00 €"
H40Μβ,συνυπάρχουσες παθήσεις - επιπλοκές Κίρρωση και αλκοολική ηπατίτιδα χωρίς,5,"717,00 €","501,90 €"
H40Χ,συνυπάρχουσες παθήσεις - επιπλοκές Κακοήθεια του ηπατοχολικού συστήματος και παγκρέατος με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,2,"296,00 €","207,20 €"
H41Μ,- επιπλοκές Κακοήθεια του ηπατοχολικού συστήματος και παγκρέατος χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,9,"1.754,00 €","1.227,80 €"
H41Χ,- επιπλοκές Διαταραχές παγκρέατος εκτός από κακοήθεια με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,4,"792,00 €","554,40 €"
H42Μ,παθήσεις - επιπλοκές Διαταραχές παγκρέατος - παγκρεατίτιδα χωρίς κακοήθεια χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,8,"1.215,00 €","850,50 €"
H42Χ,"παθήσεις - επιπλοκές Διαταραχές ήπατος εκτός από κακοήθεια, κίρρωση, αλκοολική ηπατίτιδα με καταστροφικές (συστηματικές) ή σοβαρές",3,"447,00 €","312,90 €"
H43Μ,"συνυπάρχουσες παθήσεις - επιπλοκές Διαταραχές ήπατος εκτός από κακοήθεια, κίρρωση, αλκοολική ηπατίτιδα χωρίς καταστροφικές (συστηματικές) ή σοβαρές",8,"1.674,00 €","1.171,80 €"
H43Χ,συνυπάρχουσες παθήσεις - επιπλοκές Διαταραχές των χοληφόρων με,2,"520,00 €","364,00 €"
H44Μ,συνυπάρχουσες παθήσεις - επιπλοκές ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Διαταραχές των χοληφόρων χωρίς,6,"880,00 €","616,00 €"
H44Χ,"συνυπάρχουσες παθήσεις - επιπλοκές 2 400,00 € Μείζονες επεμβάσεις των χοληφόρων με σοβαρές συνυπάρχουσες παθήσεις -",,"280,00 €",
H02Μβ,επιπλοκές Ισχύουν ότι και για το H02Μα Παθήσεις και διαταραχές του μυοσκελετικού συστήματος και του ΤΚΑ 08 συνεκτικού ιστού (Μ) Αμφοτερόπλευρες/πολλαπλές επεμβάσεις των μεγάλων αρθρώσεων κάτω άκρων με αναθεώρηση ή με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,,,
Μ01Μ,"- επιπλοκές 20 8.657,00 € Αμφοτερόπλευρες/πολλαπλές επεμβάσεις των μεγάλων αρθρώσεων κάτω άκρων χωρίς αναθεώρηση χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις",,"6.059,90 €",
Μ01Χ,"- επιπλοκές 7 4.582,00 € Μεταφορά μικροαγγειακού ιστού ή (δερματικού μοσχεύματος με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές),",,"3.207,40 €",
Μ02Μ,"εξαιρουμένης της άκρας χείρας 20 8.282,00 € Δερματικό μόσχευμα χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές, εξαιρουμένης της",,"5.797,40 €",
Μ02Χ,"άκρας χείρας 8 3.000,00 € Αρθροπλαστική ισχίου με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις -",,"2.100,00 €",
Μ03Μ,"επιπλοκές 15 4.000,00 € Aρθροπλαστική ισχίου χωρίς καταστροφικές (συστηματικές)",,"2.800,00 €",
Μ03Χ,"συνυπάρχουσες παθήσεις - επιπλοκές 7 3.000,00 € Αρθροπλαστική γόνατος με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες",,"2.100,00 €",
Μ04Μ,"παθήσεις - επιπλοκές 9 4.400,00 € ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Αρθροπλαστική γόνατος χωρίς καταστροφικές (συστηματικές) ή σοβαρές",,"3.080,00 €",
Μ04Χ,συνυπάρχουσες παθήσεις - επιπλοκές Αρθροπλαστική άλλων αρθρώσεων με καταστροφικές (συστηματικές) ή σοβαρές,6,"4.000,00 €","2.800,00 €"
Μ05Μ,συνυπάρχουσες παθήσεις - επιπλοκές Αρθροπλαστική άλλων αρθρώσεων χωρίς καταστροφικές (συστηματικές) ή σοβαρές,11,"5.593,00 €","3.915,10 €"
Μ05Χ,"συνυπάρχουσες παθήσεις - επιπλοκές Σοβαρές επεμβάσεις αποκατάστασης στη σπονδυλική στήλη είτε επεμβάσεις αποκατάστασης θωρακικών παραμορφώσεων, ηλικία < 16 ετών, ή παρα/τετραπληγία με συνυπάρχουσες καταστροφικές ή σοβαρές επιπλοκές, ή επείγουσες χειρουργικές επεμβάσεις, ή επεμβάσεις για την αντιμετώπιση",6,"5.017,00 €","3.511,90 €"
Μ06Μα,"φλεγμονής στην περιοχή Σοβαρές επεμβάσεις της σπονδυλικής στήλης, ινιοαυχενικής μοίρας ηλικία <19",9,"15.000,00 €","10.500,00 €"
Μ06Α,"ετών Μεγάλης βαρύτητας επεμβάσεις στη σπονδυλική στήλη, με αντικατάσταση σπονδυλικού σώματος είτε για σοβαρή φλεγμονώδη νόσο, είτε γιά κακοήθη νεοπλασία και συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή",6,"9.431,00 €","6.601,70 €"
Μ06Μβ,"επιπλοκές, πάνω από 6 επίπεδα Επεμβάσεις σπονδυλικής στήλης, ινιοαυχενική μοίρα, χωρίς αντικατάσταση του σπονδυλικού σώματος, χωρίς σοβαρή φλεγμονώδη νόσο ή κακοήθεια, με συνυπάρχουσες καταστροφικές ή σοβαρές",6,"9.562,00 €","6.693,40 €"
Μ06Μγ,"παθήσεις ή επιπλοκές Σοβαρές επεμβάσεις στη σπονδυλική στήλη, ινιοαυχενική μοίρα, χωρίς ιδιαίτερα πολύπλοκα ή πολύ σύνθετη λειτουργία,",6,"8.152,00 €","5.706,40 €"
Μ06Χ,"χωρίς σπονδυλική αντικατάσταση του ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα σώματος, χωρίς σοβαρή φλεγμονώδη νόσο ή κακόηθες νεόπλασμα, χωρίς συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή επιπλοκές",4,"4.136,00 €","2.895,20 €"
Μ07Α,Ακρωτηριασμός Άλλες επεμβάσεις ισχίου και μηριαίου με καταστροφικές (συστηματικές),20,"2.000,00 €","1.400,00 €"
Μ08Μ,συνυπάρχουσες παθήσεις - επιπλοκές Άλλες επεμβάσεις ισχίου και μηριαίου χωρίς καταστροφικές (συστηματικές),17,"4.449,00 €","3.114,30 €"
Μ08Χ,συνυπάρχουσες παθήσεις - επιπλοκές Χειρουργικές επεμβάσεις στη σπονδυλική στήλη με εσωτερική οστεοσύνθεση και συνυπάρχουσες καταστροφικές ή σοβαρές επιπλοκές ή διορθωτική οπίσθια σπονδυλοδεσία ή αντικατάσταση,9,"2.765,00 €","1.935,50 €"
M09Mα,"σπονδυλικού σώματος με εμφύτευμα Εξειδικευμένες χειρουργικέςεπεμβάσεις σε παραμορφωτικέςπαθήσεις της σπονδυλικής στήλης, ή πολύπλοκες σπονδυλοδεσίες ή επεμβάσεις κυφοπλαστικής χωρίς αντικατάσταση σπονδυλικού σώματος με",18,"7.063,00 €","4.944,10 €"
Μ09Χα,"εμφύτευμα, χωρίς οπίσθια σπονδυλοδεσία Εξειδικευμένες χειρουργικές επεμβάσεις της σπονδυλικής στήλης με εσωτερική οστεοσύνθεση και σοβαρές συνοδές χειρουργικές επιπλοκές ή αλλογενές οστικό μόσχευμα ή επεμβάσεις κυφοπλαστικής σε > 2 επίπεδα ή σε 2 επίπεδα με συνυπάρχουσες καταστροφικές",4,"6.046,00 €","4.232,20 €"
Μ09Μβ,ή σοβαρές επιπλοκές,3,"4.778,00 €","3.344,60 €"
Μ09Χβ,"Εξειδικευμένες επεμβάσεις στη σπονδυλική στήλη με εσωτερική οστεοσύνθεση με χρήση μεσοσπονδύλιων κλωβών ή κυφοπλαστική σε 2 επίπεδα χωρίς συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή επιπλοκές ή με αντικατάσταση σπονδυλικού σώματος ή ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα πάρα/τετραπληγία Εξειδικευμένες χειρουργικές επεμβάσεις στη σπονδυλική στήλη χωρίς επείγουσες παρεμβάσεις, χωρίς σπονδυλική παραμόρφωση, χωρίς σπονδυλοδεσία, χωρίς κυφοπλαστική, με συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή",3,"3.628,00 €","2.539,60 €"
Μ09Μγ,επιπλοκές εκτός από παρα/τετραπληγία Σπονδυλοδεσία χωρίς καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις,3,"3.311,00 €","2.317,70 €"
Μ09Χ,"- επιπλοκές έως και 3 επίπεδα Άλλες εξειδικευμένες χειρουργικές επεμβάσεις για την σπονδυλική στήλη, με συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή επιπλοκές ή με πολύπλοκες",7,"6.000,00 €","4.200,00 €"
Μ10Μα,"επεμμβάσεις Άλλες εξειδικευμένες χειρουργικές επεμβάσεις για την σπονδυλική στήλη, με συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή επιπλοκές χωρίς πολύπλοκες",8,"4.239,00 €","2.967,30 €"
Μ10Μβ,"επεμμβάσεις Άλλες χειρουργικές επεμβάσεις στη σπονδυλική στήλη, χωρίς συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή επιπλοκές, με σύνθετες επεμβάσεις ή έλξη μέσω Halo, με σπονδυλικό κάταγμα, με",8,"3.420,00 €","2.394,00 €"
Μ10Χα,"πάρα/τετραπληγία Άλλες χειρουργικές επεμβάσεις στη σπονδυλική στήλη, χωρίς συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή επιπλοκές, με σύνθετες επεμβάσεις ή έλξη μέσω Halo, χωρίς σπονδυλικό κάταγμα,",2,"2.593,00 €","1.815,10 €"
Μ10Χβ,"εκτός από πάρα/τετραπληγία Άλλες χειρουργικές επεμβάσεις στη σπονδυλική στήλη, χωρίς συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή επιπλοκές, ή έλξη μέσω Halo με σύνθετες",2,"2.172,00 €","1.520,40 €"
Μ10Χγ,"επεμβάσεις ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Άλλες χειρουργικές επεμβάσεις στη σπονδυλική στήλη, χωρίς συνυπάρχουσες καταστροφικές ή σοβαρές παθήσεις ή επιπλοκές, ή έλξη μέσω Halo χωρίς",2,"1.707,00 €","1.194,90 €"
Μ10Χδ,σύνθετες επεμβάσεις,2,"1.123,00 €","786,10 €"
