ΚΩΔ. ΚΕΝ,ΚΕΝ ΠΕΡΙΓΡΑΦΗ,ΜΔΝ από 1/3/2012,Κόστος από 1/3/2012,70% κάλυψη σε ιδιωτικά ιδρύματα
Ν27Μα,Εκφυλιστικά νοσήματα-διαταραχές νευρικού συστήματος με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα παθήσεις – επιπλοκές Εκφυλιστικά νοσήματα-διαταραχές νευρικού συστήματος με μέτριας βαρύτητας συνυπάρχουσες παθήσεις –,13,"2.299,00 €","1.609,30 €"
Ν27Μβ,επιπλοκές Εκφυλιστικά νοσήματα-διαταραχές νευρικού συστήματος χωρίς,8,"1.188,00 €","831,60 €"
Ν27Χ,συνυπάρχουσες παθήσεις – επιπλοκές Πολλαπλή σκλήρυνση και παρεγκεφαλιδική αταξία με,3,"439,00 €","307,30 €"
Ν28Μ,συνυπάρχουσες παθήσεις - επιπλοκές Πολλαπλή σκλήρυνση και παρεγκεφαλιδική αταξία χωρίς,9,"1.733,00 €","1.213,10 €"
Ν28Χ,συνυπάρχουσες παθήσεις - επιπλοκές Παροδικό ισχαιμικό εγκεφαλικό επεισόδιο και απόφραξη προεγκεφαλικών αγγείων με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις –,2,"513,00 €","359,10 €"
Ν29Μ,επιπλοκές Παροδικό ισχαιμικό εγκεφαλικό επεισόδιο και απόφραξη προεγκεφαλικών αγγείων χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις –,6,"1.118,00 €","782,60 €"
Ν29Χ,"επιπλοκές Αγγειακό εγκεφαλικό επεισόδιο και άλλες διαταραχές των εγκεφαλικών αγγείων, ασθενούς που κατέληξε ή διακομίσθηκε σε",3,"495,00 €","346,50 €"
Ν30Α,άλλο νοσοκομείο σε <5 ημέρες Αγγειακό εγκεφαλικό επεισόδιο και άλλες διαταραχές των εγκεφαλικών αγγείων με καταστροφικές (συστηματικές),2,"380,00 €","266,00 €"
Ν30Μα,συνυπάρχουσες παθήσεις - επιπλοκές Αγγειακό εγκεφαλικό επεισόδιο και άλλες διαταραχές των εγκεφαλικών αγγείων με σοβαρές συνυπάρχουσες παθήσεις -,17,"2.475,00 €","1.732,50 €"
Ν30Μβ,επιπλοκές Αγγειακό εγκεφαλικό επεισόδιο και άλλες,9,"1.625,00 €","1.137,50 €"
Ν30Χ,διαταραχές των εγκεφαλικών αγγείων ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές Διαταραχές εγκεφαλικών συζυγιών και περιφερικών νεύρων με συνυπάρχουσες,6,"900,00 €","630,00 €"
